Tree Name,ID,train_abs_im_pres,train_rel_im_pres,test_abs_im_pres,test_rel_im_pres,val_abs_im_pres,val_rel_im_pres,pick_abs_im_pres,pick_rel_im_pres,train_abs_pix_pres,train_rel_pix_pres,test_abs_pix_pres,test_rel_pix_pres,val_abs_pix_pres,val_rel_pix_pres,pick_abs_pix_pres,pick_rel_pix_pres
Background,0,1563,1.0,225,1.0,446,1.0,5,1.0,593734698,0.9274136932431621,86302661,0.9364438042534722,169405260,0.9273252478629485,1881587,0.91874365234375
betula papyrifera,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tsuga canadensis,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
picea abies,3,135,0.08637236084452975,17,0.07555555555555556,40,0.08968609865470852,0,0.0,1747096,0.0027289642314459375,269153,0.0029204969618055556,409395,0.00224103029533352,0,0.0
acer saccharum,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
betula sp.,5,71,0.045425463851567496,13,0.057777777777777775,23,0.0515695067264574,1,0.2,712279,0.001112579911928183,157284,0.001706640625,186455,0.0010206556106362107,2853,0.00139306640625
pinus sylvestris,6,253,0.1618682021753039,36,0.16,75,0.1681614349775785,1,0.2,5625620,0.00878721933981126,808634,0.008774240451388889,2016492,0.01103828738088565,19245,0.00939697265625
picea rubens,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
betula alleghaniensis,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
larix decidua,9,368,0.23544465770953296,55,0.24444444444444444,109,0.24439461883408073,1,0.2,4169255,0.006512376976867402,590472,0.00640703125,1191182,0.0065205362773262335,10534,0.0051435546875
fagus grandifolia,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
picea sp.,11,9,0.005758157389635317,2,0.008888888888888889,1,0.002242152466367713,0,0.0,44923,7.016973318538068e-05,7836,8.502604166666667e-05,15579,8.527952459360987e-05,0,0.0
fagus sylvatica,12,96,0.061420345489443376,10,0.044444444444444446,27,0.06053811659192825,1,0.2,1879699,0.00293609013865563,164900,0.0017892795138888889,540314,0.0029576815617993273,29200,0.0142578125
dead tree,13,18,0.011516314779270634,4,0.017777777777777778,4,0.008968609865470852,0,0.0,105328,0.00016452235284708893,7490,8.127170138888889e-05,40924,0.00022401818245515695,0,0.0
acer pensylvanicum,14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
populus balsamifera,15,3,0.0019193857965451055,1,0.0044444444444444444,3,0.006726457399103139,0,0.0,98191,0.00015337435770553423,40774,0.0004424262152777778,112743,0.0006171557507707399,0,0.0
quercus ilex,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
quercus robur,17,219,0.1401151631477927,27,0.12,48,0.10762331838565023,0,0.0,7064683,0.011035035975987683,738244,0.008010460069444444,1250937,0.00684763544878083,0,0.0
pinus strobus,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
larix laricina,19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
larix gmelinii,20,10,0.006397952655150352,1,0.0044444444444444444,3,0.006726457399103139,0,0.0,558356,0.0008721521613083813,43392,0.00047083333333333336,189040,0.00103480591367713,0,0.0
pinus pinea,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
populus grandidentata,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pinus montezumae,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
abies alba,24,13,0.008317338451695458,0,0.0,2,0.004484304932735426,0,0.0,211943,0.000331054999900032,0,0.0,39982,0.0002188616697029148,0,0.0
betula pendula,25,90,0.05758157389635317,17,0.07555555555555556,34,0.07623318385650224,0,0.0,1395585,0.002179903993222169,182664,0.00198203125,458313,0.0025088076741171523,0,0.0
pseudotsuga menziesii,26,36,0.023032629558541268,3,0.013333333333333334,11,0.02466367713004484,0,0.0,769445,0.001201873213071817,56546,0.0006135633680555556,405967,0.0022222654060397983,0,0.0
fraxinus nigra,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dacrydium cupressinum,28,15,0.009596928982725527,2,0.008888888888888889,9,0.020179372197309416,1,0.2,1266951,0.0019789776646473127,190161,0.00206337890625,662143,0.0036245741224075114,73090,0.0356884765625
cedrus libani,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
acer pseudoplatanus,30,136,0.08701215611004479,18,0.08,40,0.08968609865470852,0,0.0,2538420,0.003965012446017275,345566,0.003749631076388889,636902,0.0034864047610706278,0,0.0
pinus elliottii,31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
cryptomeria japonica,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pinus koraiensis,33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
abies holophylla,34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
alnus glutinosa,35,42,0.026871401151631478,10,0.044444444444444446,12,0.026905829596412557,0,0.0,393501,0.0006146486249400192,60894,0.0006607421875,87423,0.0004785539430353139,0,0.0
fraxinus excelsior,36,113,0.07229686500319897,12,0.05333333333333334,34,0.07623318385650224,0,0.0,3185532,0.004975801493522073,228294,0.0024771484375,1194417,0.0065382446836463005,0,0.0
