Tree Name,ID,train_abs_im_pres,train_rel_im_pres,test_abs_im_pres,test_rel_im_pres,val_abs_im_pres,val_rel_im_pres,pick_abs_im_pres,pick_rel_im_pres,train_abs_pix_pres,train_rel_pix_pres,test_abs_pix_pres,test_rel_pix_pres,val_abs_pix_pres,val_rel_pix_pres,pick_abs_pix_pres,pick_rel_pix_pres
Background,0,1061,1.0,0,1.0,303,1.0,0,0,236030018,0.5431151377312088,0,0.5546050400938531,68831366,0.5546050400938531,0,0
betula papyrifera,1,569,0.5362865221489161,0,0.504950495049505,153,0.504950495049505,0,0,42283192,0.09729542810438266,0,0.08791383044554456,10910880,0.08791383044554456,0,0
tsuga canadensis,2,562,0.529688972667295,0,0.49174917491749176,149,0.49174917491749176,0,0,31963943,0.07355039605546065,0,0.07333689472462872,9101754,0.07333689472462872,0,0
picea abies,3,479,0.4514608859566447,0,0.3927392739273927,119,0.3927392739273927,0,0,6945765,0.015982501491075635,0,0.01521487597978548,1888300,0.01521487597978548,0,0
acer saccharum,4,191,0.18001885014137606,0,0.1848184818481848,56,0.1848184818481848,0,0,11835741,0.027234544816947454,0,0.024756431453692246,3072491,0.024756431453692246,0,0
betula sp.,5,236,0.2224316682375118,0,0.19471947194719472,59,0.19471947194719472,0,0,4241930,0.009760861841717719,0,0.008291072027124587,1028995,0.008291072027124587,0,0
pinus sylvestris,6,371,0.34967012252591895,0,0.31683168316831684,96,0.31683168316831684,0,0,17182196,0.03953696578993874,0,0.03307459261551155,4104848,0.03307459261551155,0,0
picea rubens,7,278,0.26201696512723843,0,0.2376237623762376,72,0.2376237623762376,0,0,9813090,0.022580338603027803,0,0.023517099512685644,2918679,0.023517099512685644,0,0
betula alleghaniensis,8,439,0.413760603204524,0,0.39603960396039606,120,0.39603960396039606,0,0,1704018,0.003921018091717719,0,0.0036672016811056104,455132,0.0036672016811056104,0,0
larix decidua,9,307,0.28934967012252594,0,0.27722772277227725,84,0.27722772277227725,0,0,3079088,0.007085112806314797,0,0.00655295192605198,813279,0.00655295192605198,0,0
fagus grandifolia,10,65,0.061262959472196045,0,0.056105610561056105,17,0.056105610561056105,0,0,4578469,0.010535252433582705,0,0.010173670199051155,1262642,0.010173670199051155,0,0
picea sp.,11,102,0.09613572101790764,0,0.09570957095709572,29,0.09570957095709572,0,0,9950877,0.022897392366429077,0,0.022077282191109736,2739985,0.022077282191109736,0,0
fagus sylvatica,12,195,0.18378887841658811,0,0.16501650165016502,50,0.16501650165016502,0,0,2139351,0.004922737890993167,0,0.004217428578795379,523420,0.004217428578795379,0,0
dead tree,13,262,0.2469368520263902,0,0.2739273927392739,83,0.2739273927392739,0,0,8223495,0.01892261271427309,0,0.018436452531971948,2288126,0.018436452531971948,0,0
acer pensylvanicum,14,268,0.2525918944392083,0,0.19801980198019803,60,0.19801980198019803,0,0,1856021,0.004270783477409283,0,0.00419367522689769,520472,0.00419367522689769,0,0
populus balsamifera,15,14,0.013195098963242224,0,0.0,0,0.0,0,0,91159,0.0002097607467895853,0,0.0,0,0.0,0,0
quercus ilex,16,51,0.04806786050895382,0,0.04950495049504951,15,0.04950495049504951,0,0,632747,0.001455977832675542,0,0.0016172664629744225,200717,0.0016172664629744225,0,0
quercus robur,17,116,0.10933081998114987,0,0.09570957095709572,29,0.09570957095709572,0,0,3145836,0.0072387028010131955,0,0.00730069906404703,906081,0.00730069906404703,0,0
pinus strobus,18,25,0.0235626767200754,0,0.026402640264026403,8,0.026402640264026403,0,0,3231601,0.007436051723757069,0,0.009234163894905115,1146041,0.009234163894905115,0,0
larix laricina,19,39,0.036757775683317624,0,0.036303630363036306,11,0.036303630363036306,0,0,1681723,0.0038697163458706408,0,0.0028350366774958745,351853,0.0028350366774958745,0,0
larix gmelinii,20,169,0.15928369462770972,0,0.1254125412541254,38,0.1254125412541254,0,0,1714717,0.003945636947013431,0,0.002430730133560231,301675,0.002430730133560231,0,0
pinus pinea,21,17,0.016022620169651274,0,0.04950495049504951,15,0.04950495049504951,0,0,3489159,0.008028703666205231,0,0.025393517623246698,3151559,0.025393517623246698,0,0
populus grandidentata,22,23,0.021677662582469368,0,0.019801980198019802,6,0.019801980198019802,0,0,1535815,0.003533975815121348,0,0.0039005775577557757,484096,0.0039005775577557757,0,0
pinus montezumae,23,19,0.017907634307257305,0,0.0297029702970297,9,0.0297029702970297,0,0,620711,0.0014282824833588596,0,0.0019087848726278879,236897,0.0019087848726278879,0,0
abies alba,24,39,0.036757775683317624,0,0.033003300330033,10,0.033003300330033,0,0,4063219,0.009349640208971489,0,0.00487772019389439,605368,0.00487772019389439,0,0
betula pendula,25,11,0.010367577756833177,0,0.0033003300330033004,1,0.0033003300330033004,0,0,277206,0.0006378628284048068,0,0.00023294077454620463,28910,0.00023294077454620463,0,0
pseudotsuga menziesii,26,16,0.015080113100848256,0,0.006600660066006601,2,0.006600660066006601,0,0,1156703,0.0026616229345841186,0,0.00047273037850660066,58670,0.00047273037850660066,0,0
fraxinus nigra,27,8,0.007540056550424128,0,0.009900990099009901,3,0.009900990099009901,0,0,1004720,0.002311903569745523,0,0.003802872963077558,471970,0.003802872963077558,0,0
dacrydium cupressinum,28,12,0.011310084825636193,0,0.0231023102310231,7,0.0231023102310231,0,0,1622940,0.0037344541558671064,0,0.005295426271142739,657209,0.005295426271142739,0,0
cedrus libani,29,18,0.016965127238454288,0,0.0165016501650165,5,0.0165016501650165,0,0,914303,0.002103850196601084,0,0.0010645256420173266,132117,0.0010645256420173266,0,0
acer pseudoplatanus,30,32,0.030160226201696512,0,0.026402640264026403,8,0.026402640264026403,0,0,1504250,0.0034613434039231857,0,0.004092127230301155,507869,0.004092127230301155,0,0
pinus elliottii,31,34,0.03204524033930255,0,0.026402640264026403,8,0.026402640264026403,0,0,2244058,0.005163673163583883,0,0.0035186304274958747,436693,0.0035186304274958747,0,0
cryptomeria japonica,32,125,0.117813383600377,0,0.07920792079207921,24,0.07920792079207921,0,0,765186,0.0017607256199929312,0,0.0012215572143151816,151606,0.0012215572143151816,0,0
pinus koraiensis,33,6,0.005655042412818096,0,0.006600660066006601,2,0.006600660066006601,0,0,134770,0.00031011151773091425,0,0.00033230520317656766,41242,0.00033230520317656766,0,0
abies holophylla,34,17,0.016022620169651274,0,0.009900990099009901,3,0.009900990099009901,0,0,547957,0.001260872426513902,0,0.0011566625412541254,143552,0.0011566625412541254,0,0
alnus glutinosa,35,15,0.01413760603204524,0,0.019801980198019802,6,0.019801980198019802,0,0,1379508,0.0031743067418708764,0,0.003562253442141089,442107,0.003562253442141089,0,0
fraxinus excelsior,36,67,0.06314797360980208,0,0.0594059405940594,18,0.0594059405940594,0,0,449151,0.0010335156065916589,0,0.0009181218414810231,113947,0.0009181218414810231,0,0
coniferous,37,9,0.008482563619227144,0,0.006600660066006601,2,0.006600660066006601,0,0,1474563,0.003393032350818803,0,0.0023811687809405942,295524,0.0023811687809405942,0,0
eucalyptus globulus,38,77,0.07257304429783223,0,0.07920792079207921,24,0.07920792079207921,0,0,892991,0.002054810375677427,0,0.0016501730739480198,204801,0.0016501730739480198,0,0
pinus nigra,39,54,0.05089538171536286,0,0.039603960396039604,12,0.039603960396039604,0,0,549563,0.0012645679010073044,0,0.000643443494740099,79857,0.000643443494740099,0,0
quercus rubra,40,46,0.043355325164938736,0,0.056105610561056105,17,0.056105610561056105,0,0,106236,0.0002444535668001885,0,0.0002339398978960396,29034,0.0002339398978960396,0,0
