Tree Name,ID,train_abs_im_pres,train_rel_im_pres,test_abs_im_pres,test_rel_im_pres,val_abs_im_pres,val_rel_im_pres,pick_abs_im_pres,pick_rel_im_pres,train_abs_pix_pres,train_rel_pix_pres,test_abs_pix_pres,test_rel_pix_pres,val_abs_pix_pres,val_rel_pix_pres,pick_abs_pix_pres,pick_rel_pix_pres
Background,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
betula papyrifera,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
tsuga canadensis,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
picea abies,3,6,0.01694915254237288,0,0,0,0.0,0,0,170177,0.0011736474333509887,0,0,0,0.0,0,0
acer saccharum,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
betula sp.,5,17,0.0480225988700565,0,0,4,0.039603960396039604,0,0,115621,0.0007973950057379944,0,0,23699,0.0005728602645420792,0,0
pinus sylvestris,6,13,0.03672316384180791,0,0,4,0.039603960396039604,0,0,421488,0.0029068458686440676,0,0,200262,0.004840800974628713,0,0
picea rubens,7,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
betula alleghaniensis,8,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
larix decidua,9,247,0.6977401129943502,0,0,69,0.6831683168316832,0,0,2343467,0.016162019718838277,0,0,651543,0.01574931834003713,0,0
fagus grandifolia,10,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
picea sp.,11,5,0.014124293785310734,0,0,0,0.0,0,0,36451,0.00025138898084392655,0,0,0,0.0,0,0
fagus sylvatica,12,5,0.014124293785310734,0,0,1,0.009900990099009901,0,0,48915,0.0003373485500529661,0,0,15043,0.00036362449721534653,0,0
dead tree,13,3,0.00847457627118644,0,0,0,0.0,0,0,2877,1.9841598252118643e-05,0,0,0,0.0,0,0
acer pensylvanicum,14,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
populus balsamifera,15,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
quercus ilex,16,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
quercus robur,17,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
pinus strobus,18,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
larix laricina,19,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
larix gmelinii,20,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
pinus pinea,21,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
populus grandidentata,22,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
pinus montezumae,23,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
abies alba,24,2,0.005649717514124294,0,0,0,0.0,0,0,16679,0.00011502885549081921,0,0,0,0.0,0,0
betula pendula,25,11,0.031073446327683617,0,0,6,0.0594059405940594,0,0,259855,0.0017921232234286723,0,0,147029,0.0035540348468440595,0,0
pseudotsuga menziesii,26,5,0.014124293785310734,0,0,1,0.009900990099009901,0,0,182955,0.001261772543697034,0,0,111198,0.002687915764232673,0,0
fraxinus nigra,27,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
dacrydium cupressinum,28,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
cedrus libani,29,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
acer pseudoplatanus,30,8,0.022598870056497175,0,0,1,0.009900990099009901,0,0,167556,0.0011555713718220339,0,0,5384,0.00013014387376237624,0,0
pinus elliottii,31,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
cryptomeria japonica,32,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
pinus koraiensis,33,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
abies holophylla,34,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
alnus glutinosa,35,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
fraxinus excelsior,36,9,0.025423728813559324,0,0,5,0.04950495049504951,0,0,876244,0.006043128751765537,0,0,336831,0.008141993154393564,0,0
coniferous,37,4,0.011299435028248588,0,0,0,0.0,0,0,31079,0.0002143402961687853,0,0,0,0.0,0,0
eucalyptus globulus,38,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
pinus nigra,39,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
quercus rubra,40,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
tilia europaea,41,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
abies firma,42,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
acer sp.,43,18,0.05084745762711865,0,0,4,0.039603960396039604,0,0,486782,0.0033571542858403954,0,0,80660,0.0019497408725247525,0,0
metrosideros umbellata,44,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
acer rubrum,45,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
picea mariana,46,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
abies balsamea,47,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
castanea sativa,48,7,0.01977401129943503,0,0,0,0.0,0,0,46236,0.0003188724841101695,0,0,0,0.0,0,0
tilia cordata,49,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
populus sp.,50,1,0.002824858757062147,0,0,1,0.009900990099009901,0,0,17009,0.0001173047426730226,0,0,24567,0.0005938418548886139,0,0
