0: Background
1: betula_papyrifera
2: tsuga_canadensis
3: picea_abies
4: acer_saccharum
5: betula_sp.
6: pinus_sylvestris
7: picea_rubens
8: betula_alleghaniensis
9: larix_decidua
10: fagus_grandifolia
11: picea_sp.
12: fagus_sylvatica
13: dead_tree
14: acer_pensylvanicum
15: populus_balsamifera
16: quercus_ilex
17: quercus_robur
18: pinus_strobus
19: larix_laricina
20: larix_gmelinii
21: pinus_pinea
22: populus_grandidentata
23: pinus_montezumae
24: abies_alba
25: betula_pendula
26: pseudotsuga_menziesii
27: fraxinus_nigra
28: dacrydium_cupressinum
29: cedrus_libani
30: acer_pseudoplatanus
31: pinus_elliottii
32: cryptomeria_japonica
33: pinus_koraiensis
34: abies_holophylla
35: alnus_glutinosa
36: fraxinus_excelsior
37: coniferous
38: eucalyptus_globulus
39: pinus_nigra
40: quercus_rubra
41: tilia_europaea
42: abies_firma
43: acer_sp.
44: metrosideros_umbellata
45: acer_rubrum
46: picea_mariana
47: abies_balsamea
48: castanea_sativa
49: tilia_cordata
50: populus_sp.
51: crataegus_monogyna
52: quercus_petraea
53: acer_platanoides
54: robinia_pseudoacacia
55: fagus_crenata
56: quercus_sp.
57: salix_alba
58: pinus_sp.
59: carpinus_sp.
60: deciduous
61: salix_sp.
