,Background,betula_papyrifera,tsuga_canadensis,picea_abies,acer_saccharum,betula_sp.,pinus_sylvestris,picea_rubens,betula_alleghaniensis,larix_decidua,fagus_grandifolia,picea_sp.,fagus_sylvatica,dead_tree,acer_pensylvanicum,populus_balsamifera,quercus_ilex,quercus_robur,pinus_strobus,larix_laricina,larix_gmelinii,pinus_pinea,populus_grandidentata,pinus_montezumae,abies_alba,betula_pendula,pseudotsuga_menziesii,fraxinus_nigra,dacrydium_cupressinum,cedrus_libani,acer_pseudoplatanus,pinus_elliottii,cryptomeria_japonica,pinus_koraiensis,abies_holophylla,alnus_glutinosa,fraxinus_excelsior,coniferous,eucalyptus_globulus,pinus_nigra,quercus_rubra,tilia_europaea,abies_firma,acer_sp.,metrosideros_umbellata,acer_rubrum,picea_mariana,abies_balsamea,castanea_sativa,tilia_cordata,populus_sp.,crataegus_monogyna,quercus_petraea,acer_platanoides,robinia_pseudoacacia,fagus_crenata,quercus_sp.,salix_alba,pinus_sp.,carpinus_sp.,deciduous,salix_sp.
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betula_papyrifera,0.0,0.0,1.4,1.33,0.58,0.0,1.33,1.33,0.1,1.33,0.6,1.33,0.6,0.0,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.1,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.35,0.6,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.35,0.58,0.65
tsuga_canadensis,0.0,1.4,0.0,0.33,1.38,1.4,0.33,0.33,1.4,0.33,1.4,0.33,1.4,1.4,1.38,1.4,1.38,1.38,0.33,0.33,0.33,0.33,1.4,0.33,0.33,1.4,0.4,1.4,1.9,0.8,1.38,0.33,0.8,0.33,0.33,1.45,1.4,0.33,1.7,0.33,1.38,1.4,0.33,1.38,1.7,1.38,0.33,0.33,1.45,1.4,1.4,1.4,1.38,1.38,1.4,1.4,1.38,1.45,0.33,1.45,1.38,1.45
picea_abies,0.0,1.33,0.33,0.0,1.31,1.33,0.26,0.06,1.33,0.26,1.33,0.0,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.0,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.06,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
acer_saccharum,0.0,0.58,1.38,1.31,0.0,0.58,1.31,1.31,0.58,1.31,0.58,1.31,0.58,0.58,0.06,0.58,0.56,0.56,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.06,1.31,1.38,1.31,1.31,0.63,0.58,1.31,1.48,1.31,0.56,0.58,1.31,0.0,1.48,0.06,1.31,1.31,0.63,0.58,0.58,0.58,0.56,0.06,0.58,0.58,0.56,0.63,1.31,0.63,0.0,0.63
betula_sp.,0.0,0.0,1.4,1.33,0.58,0.0,1.33,1.33,0.1,1.33,0.6,1.33,0.6,0.0,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.1,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.35,0.6,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.35,0.58,0.65
pinus_sylvestris,0.0,1.33,0.33,0.26,1.31,1.33,0.0,0.26,1.33,0.26,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.06,0.26,0.26,0.06,1.33,0.06,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.06,0.73,0.06,0.26,1.38,1.33,0.26,1.63,0.06,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.0,1.38,1.31,1.38
picea_rubens,0.0,1.33,0.33,0.06,1.31,1.33,0.26,0.0,1.33,0.26,1.33,0.06,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.26,0.26,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.06,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.06,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
betula_alleghaniensis,0.0,0.1,1.4,1.33,0.58,0.1,1.33,1.33,0.0,1.33,0.6,1.33,0.6,0.1,0.58,0.6,0.58,0.58,1.33,1.33,1.33,1.33,0.6,1.33,1.33,0.1,1.4,0.6,1.7,1.4,0.58,1.33,1.4,1.33,1.33,0.35,0.6,1.33,1.5,1.33,0.58,0.6,1.33,0.58,1.5,0.58,1.33,1.33,0.65,0.6,0.6,0.6,0.58,0.58,0.6,0.6,0.58,0.65,1.33,0.35,0.58,0.65
larix_decidua,0.0,1.33,0.33,0.26,1.31,1.33,0.26,0.26,1.33,0.0,1.33,0.26,1.33,1.33,1.31,1.33,1.31,1.31,0.26,0.06,0.06,0.26,1.33,0.26,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.26,0.73,0.26,0.26,1.38,1.33,0.26,1.63,0.26,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.26,1.38,1.31,1.38
